id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1405499968543100936,1405362960478785538,2021-06-17 22:18:00 AEST,2021-06-17,22:18:00,+1000,17587297,sumiiway,sumi j,,"@corinne_podger @fileckert @TomMcIlroy @DocWSJames I don’t disagree. The risk is certainly low. But in a country where anti vax sentiment is high and public confidence is now essentially shattered, I feel it is tone deaf from our government to continue to push for 2nd dose AZ to that cohort. People are already hesitant as is.",en,[],[],[],2,0,1,[],[],https://twitter.com/sumiiway/status/1405499968543100936,False,,0,,,,,,,,"[{'screen_name': 'corinne_podger', 'name': 'Corinne Podger', 'id': '266961516'}, {'screen_name': 'fileckert', 'name': 'Phil Eckert', 'id': '393027491'}, {'screen_name': 'TomMcIlroy', 'name': 'Tom McIlroy', 'id': '48927175'}, {'screen_name': 'DocWSJames', 'name': 'Doc 黄 🐀💧why do we have a PM who smirks & shirks.', 'id': '2344678944'}]",,,,
1405439596289093637,1405437744961122309,2021-06-17 18:18:06 AEST,2021-06-17,18:18:06,+1000,1325207747411935232,damo88089510,damian,,"@9NewsMelb And Most likely has the lowest vaccination rate in the entire country for all vaccines, as they’re notoriously anti vax and think nothing touches the Eastern Suburbs.",en,[],[],[],0,0,0,[],[],https://twitter.com/damo88089510/status/1405439596289093637,False,,0,,,,,,,,"[{'screen_name': '9NewsMelb', 'name': '9News Melbourne', 'id': '183036128'}]",,,,
1405425871695933441,1405425871695933441,2021-06-17 17:23:34 AEST,2021-06-17,17:23:34,+1000,940856220,jasonpillifeant,Jason,,"...and in #BREAKINGNEWS on 3AW today: “Vax, vaccinated, vaccination, vaccination hubs, vaccination hesitancy, get tested, 1st jab, 2nd jab, vaccine tick, anti-vaxxers, vaxxed...blah, blah, blah” Amen 🙏🏻. 🤦🏼‍♂️ 😂😂😂",en,[],[],[],0,0,7,['breakingnews'],[],https://twitter.com/jasonpillifeant/status/1405425871695933441,False,,0,,,,,,,,[],,,,
1405412035035164679,1405412035035164679,2021-06-17 16:28:35 AEST,2021-06-17,16:28:35,+1000,182768719,myorangeisstuck,Willie,,Sad that they reserved AstraZeneca for 60 years old and above. They should just give it anti vax people,en,[],[],[],0,0,0,[],[],https://twitter.com/myorangeisstuck/status/1405412035035164679,False,,0,,,,,,,,[],,,,
1405385802071252992,1405385797512011776,2021-06-17 14:44:20 AEST,2021-06-17,14:44:20,+1000,17751519,jessmcguire,Jess McGuire,,"Didn’t someone write an article about the relationship b/w direct marketing schemes pushing “health” &amp; anti vax rhetoric? Please remind me of a link, if you find one.   Anyway was sort of annoyed but wrote a gentle reply basically consisting of “pls don’t send this shit to me”",en,[],[],[],1,0,2,[],[],https://twitter.com/jessmcguire/status/1405385802071252992,False,,0,,,,,,,,[],,,,
1405380952805691396,1405323805526945792,2021-06-17 14:25:04 AEST,2021-06-17,14:25:04,+1000,300821249,emicatherine,Emily 😷💉,,"@ben_roads @3AW693 You're a Covid vax anti-vaxxer, so you are an anti-vaxxer in this context. You should go an get your Pfizer, the govt just said you can have it at 55",en,[],[],[],0,0,0,[],[],https://twitter.com/emicatherine/status/1405380952805691396,False,,0,,,,,,,,"[{'screen_name': 'ben_roads', 'name': 'Ben Roads 🇦🇺', 'id': '834629485190189056'}, {'screen_name': '3AW693', 'name': '3AW Melbourne', 'id': '55432787'}]",,,,
1405146657948270599,1405145033116831744,2021-06-16 22:54:04 AEST,2021-06-16,22:54:04,+1000,87910012,michael_60,Michael E,,@AussieGal999 Theres a singer songwriter I used to really like. Same thing. Started raning anti lockdown anti vax stuff on FB. Apparently likewise rants at his gigs and plays anti-lockdown songs he writes. No more support from me Im afraid,en,[],[],[],1,0,1,[],[],https://twitter.com/Michael_60/status/1405146657948270599,False,,0,,,,,,,,"[{'screen_name': 'AussieGal999', 'name': 'Helen', 'id': '27209177'}]",,,,
1405146454390312962,1405146454390312962,2021-06-16 22:53:15 AEST,2021-06-16,22:53:15,+1000,43066762,itsadrizzle,adrian,,A lot of people who made a lot of jokes about MPJ being anti vax are pretty quiet about big names across the league being the same.,en,[],[],[],0,0,2,[],[],https://twitter.com/itsadrizzle/status/1405146454390312962,False,https://twitter.com/ShamsCharania/status/1405142801625620483,0,,,,,,,,[],,,,
1404795900627673095,1404483523373789187,2021-06-15 23:40:17 AEST,2021-06-15,23:40:17,+1000,1312317259415646208,alwaystherabbit,Not The Rabbit,,@MolotovGirl Kills all the morons that are anti Vax.,en,[],[],[],0,0,0,[],[],https://twitter.com/AlwaysTheRabbit/status/1404795900627673095,False,,0,,,,,,,,"[{'screen_name': 'MolotovGirl', 'name': 'YEGrrBomb💣 🇨🇦❤️🇺🇸', 'id': '60618619'}]",,,,
1404792550574206981,1404792550574206981,2021-06-15 23:26:58 AEST,2021-06-15,23:26:58,+1000,287043200,brudalbruthers,Mrs Chuffy's Kat,,"You'll reduce the  risk of dying from covid and in all probability will have to listen to more flat earth, anti Vax,  Qanon horse shit.  #auspol",en,[],[],[],0,0,1,['auspol'],[],https://twitter.com/BrudalBruthers/status/1404792550574206981,False,https://twitter.com/molotovgirl/status/1404483523373789187,0,,,,,,,,[],,,,
